Name of State Road Transport Undertaking (SRTU),State,gis_id,Total Revenue (Rs. Lakhs) 2013-14,Total Revenue (Rs. Lakhs) 2012-13,Total Cost (Rs. Lakhs) 2013-14,Total Cost (Rs. Lakhs) 2012-13,Net Profit/Loss (Rs. Lakhs) 2013-14,Net Profit/Loss (Rs. Lakhs) 2012-13,Revenue/Km (Paise) 2013-14,Revenue/Km (Paise) 2012-13,Cost/KM (Paise) 2013-14,Cost/KM (Paise) 2012-13,Profit/Loss per Km (Paise) 2013-14,Profit/Loss per Km (Paise) 2012-13,Revenue/Bus/Day (Rs.) 2013-14,Revenue/Bus/Day (Rs.) 2012-13,Cost/Bus/Day (Rs.) 2013-14,Cost/Bus/Day (Rs.) 2012-13,Profit/Loss per Bus/Day (Rs.) 2013-14,Profit/Loss per Bus/Day (Rs.) 2012-13,Staff Costs (Rs.Lakhs) 2013-14,Staff Costs (Rs.Lakhs) 2012-13,Fuel & Lubricant Costs (Rs.Lakhs) 2013-14,Fuel & Lubricant Costs (Rs.Lakhs) 2012-13,Cost of Tyres & Tubes (Rs.Lakhs) 2013-14,Cost of Tyres & Tubes (Rs.Lakhs) 2012-13,Cost of Spares (Rs.Lakhs) 2013-14,Cost of Spares (Rs.Lakhs) 2012-13,Interest (Rs.Lakhs) 2013-14,Interest (Rs.Lakhs) 2012-13,Depreciation (Rs.Lakhs) 2013-14,Depreciation (Rs.Lakhs) 2012-13,Taxes (Rs.Lakhs) 2013-14,Taxes (Rs.Lakhs) 2012-13,Other Cost (Rs.Lakhs) 2013-14,Other Cost (Rs.Lakhs) 2012-13,Profit before Tax (Rs.Lakhs) 2013-14,Profit before Tax (Rs.Lakhs) 2012-13,Staff Cost as % of Total Cost 2013-14,Staff Cost as % of Total Cost 2012-13,Fuel & Lubricant Cost as % of Total Cost 2013-14,Fuel & Lubricant Cost as % of Total Cost 2012-13,Tyres & Tubes Cost as % of Total Cost 2013-14,Tyres & Tubes Cost as % of Total Cost 2012-13,Spares Cost as % of Total Cost 2013-14,Spares Cost as % of Total Cost 2012-13,Interest Cost as % of Total Cost 2013-14,Interest Cost as % of Total Cost 2012-13,Depreciation Cost as % of Total Cost 2013-14,Depreciation Cost as % of Total Cost 2012-13,Tax Cost as % of Total Cost 2013-14,Tax Cost as % of Total Cost 2012-13,Other Costs as % of Total Cost 2013-14,Other Costs as % of Total Cost 2012-13,Staff Cost per Revenue Earning Km 2013-14,Staff Cost per Revenue Earning Km 2012-13, Fuel & Lubricant Cost per Revenue Earning Km 2013-14, Fuel & Lubricant Cost per Revenue Earning Km 2012-13,Tyres & Tubes Cost per Revenue Earning Km 2013-14,Tyres & Tubes Cost per Revenue Earning Km 2012-13,Spares Cost per Revenue Earning Km 2013-14,Spares Cost per Revenue Earning Km 2012-13,Interest Cost per Revenue Earning Km 2013-14,Interest Cost per Revenue Earning Km 2012-13,Depreciation Cost per Revenue Earning Km 2013-14,Depreciation Cost per Revenue Earning Km 2012-13,Tax Cost per Revenue Earning Km 2013-14,Tax Cost per Revenue Earning Km 2012-13,Other Costs per Revenue Earning Km 2013-14,Other Costs per Revenue Earning Km 2012-13
Ahmedabad MTC,Gujrat,12,15374.75,14373.79,35633.82,31591.22,-20259.07,-17217.43,2837.61,2656.6,6576.69,5838.76,-3739.08,-3182.17,4065.89,3516.09,9423.45,7727.79,-5357.56,-4211.7,17012,15724.96,5361.68,5249,246.66,182.27,322.79,455.2,738.38,643.37,0,0,160.12,188.52,11792.19,9147.9,-20098.95,-17028.91,47.74,49.78,15.05,16.62,0.69,0.58,0.91,1.44,2.07,2.04,0,0,0.45,0.6,33.09,28.96,31.4,29.06,9.9,9.7,0.46,0.34,0.6,0.84,1.36,1.19,0,0,0.3,0.35,21.76,16.91
Andhra Pradesh SRTC,Andhra Pradesh,2,660324.12,666151.62,744592.96,669864.92,-84268.84,-3713.3,2517.82,2236.68,2839.14,2249.15,-321.32,-12.47,8169.37,8119.74,9211.92,8165,-1042.55,-45.26,299258.43,267343.43,251505.84,248260.86,17921.09,18730.75,10910.15,10288.36,38471.32,36861.9,39567.58,42734.72,45338.19,7789.2,41620.36,37855.7,-38930.65,4075.9,40.19,39.91,33.78,37.06,2.41,2.8,1.47,1.54,5.17,5.5,5.31,6.38,6.09,1.16,5.59,5.65,11.41,8.98,9.59,8.34,0.68,0.63,0.42,0.35,1.47,1.24,1.51,1.43,1.73,0.26,1.59,1.27
Andaman & Nicobar ST,A & N Islands,1,1886.55,1671.55,4870.71,4299.22,-2984.16,-2627.67,1880.34,1863.7,4854.69,4793.42,-2974.34,-2929.72,2003.35,2017.44,5172.25,5188.85,-3168.91,-3171.41,1675.44,1604.15,1594.07,1246.87,200,191.56,338.55,302.55,517.62,471.02,443.59,385.22,101.44,97.85,0,0,-2882.72,-2529.82,34.4,37.31,32.73,29,4.11,4.46,6.95,7.04,10.63,10.96,9.11,8.96,2.08,2.28,0,0,16.7,17.89,15.89,13.9,1.99,2.14,3.37,3.37,5.16,5.25,4.42,4.3,1.01,1.09,0,0
Arunachal Pradesh ST,Arunachal Pradesh,3,16.2,15.4,54.95,53,-38.75,-37.6,19.97,20.08,67.74,69.09,-47.77,-49.02,20.27,20.38,68.74,70.15,-48.48,-49.77,26.95,25.98,13,12.02,1.49,1.45,13.51,13.55,0,0,0,0,0,0,0,0,-38.75,-37.6,49.04,49.02,23.66,22.68,2.71,2.74,24.59,25.57,0,0,0,0,0,0,0,0,0.33,0.34,0.16,0.16,0.02,0.02,0.17,0.18,0,0,0,0,0,0,0,0
BEST Undertaking,Maharashtra,21,143510.38,142568.38,218435.18,205611.6,-74924.8,-63043.22,5626.14,5375.88,8563.47,7753.08,-2937.33,-2377.2,9114.03,8710.93,13872.34,12562.88,-4758.31,-3851.94,138497.95,121381.37,43879.13,38846.45,2615.46,2620.02,7654.12,7146.35,11542.91,16118.52,3736.16,6749.1,2483.58,2616.08,8025.87,10133.71,-72441.22,-60427.14,63.4,59.03,20.09,18.89,1.2,1.27,3.5,3.48,5.28,7.84,1.71,3.28,1.14,1.27,3.67,4.93,54.3,45.77,17.2,14.65,1.03,0.99,3,2.69,4.53,6.08,1.46,2.54,0.97,0.99,3.15,3.82
Bangalore Metropolitan TC,Karnataka,17,201394.23,166045.58,215146.98,180841.03,-13752.75,-14795.45,4199.3,3579.82,4486.06,3898.8,-286.76,-318.98,8356.28,7188.99,8926.91,7829.57,-570.63,-640.57,90245.67,75799.7,76621.97,61794.82,3515.13,3685.7,5899.59,6112.66,5972.88,3230.17,13614.62,12742.02,9798.93,8413.81,9478.19,9062.15,-3953.82,-6381.64,41.95,41.92,35.61,34.17,1.63,2.04,2.74,3.38,2.78,1.79,6.33,7.05,4.55,4.65,4.41,5.01,18.82,16.34,15.98,13.32,0.73,0.79,1.23,1.32,1.25,0.7,2.84,2.75,2.04,1.81,1.98,1.95
Bihar SRTC,Bihar,5,1630.53,2053.36,2576.02,3062.69,-945.49,-1009.33,2279.82,2040.1,3601.82,3042.91,-1321.99,-1002.81,1079.04,1358.85,1704.73,2026.8,-625.7,-667.94,1224,1491,815.38,957.17,98.79,133.75,131.53,145.31,N.A.,N.A.,N.A.,N.A.,31.74,37.66,274.58,297.8,-913.75,-971.67,47.52,48.68,31.65,31.25,3.83,4.37,5.11,4.74,N.A.,N.A.,N.A.,N.A.,1.23,1.23,10.66,9.72,17.11,14.81,11.4,9.51,1.38,1.33,1.84,1.44,N.A.,N.A.,N.A.,N.A.,0.44,0.37,3.84,2.96
Calcutta STC,West Bengal,35,6197.6,7043.71,23052.52,21853.94,-16854.92,-14810.23,2873.25,2705.27,10687.31,8393.42,-7814.06,-5688.15,2364.86,2477.26,8796.32,7685.98,-6431.46,-5208.73,16894.16,15369.37,4439.42,4582.29,181.87,372.56,321.54,311.71,0,0,800,800,0,0,415.53,418.01,-16854.92,-14810.23,73.29,70.33,19.26,20.97,0.79,1.7,1.39,1.43,N.A.,N.A.,3.47,3.66,0,0,1.8,1.91,78.32,59.03,20.58,17.6,0.84,1.43,1.49,1.2,N.A.,N.A.,3.71,3.07,0,0,1.93,1.61
Chandigarh TU,Chandigarh,6,10430.16,10795.1,17551.98,17812.39,-7121.82,-7017.29,3111.62,2892.89,5236.27,4773.39,-2124.65,-1880.5,6105.94,6266.02,10275.13,10339.21,-4169.2,-4073.19,7695.98,7105.61,5796.71,4643.61,315.74,287.01,833.03,753.99,74.22,74.2,758.38,762.88,830.72,1080.85,1247.2,3104.24,-6291.1,-5936.44,43.85,39.89,33.03,26.07,1.8,1.61,4.75,4.23,0.42,0.42,4.32,4.28,4.73,6.07,7.11,17.43,22.96,19.04,17.29,12.44,0.94,0.77,2.49,2.02,0.22,0.2,2.26,2.04,2.48,2.9,3.72,8.32
Delhi TC,Delhi,10,120957.8,130444.24,466803.19,429667.95,-345845.39,-299223.71,3821.48,3691.03,14747.94,12157.81,-10926.46,-8466.78,6204.67,6379.53,23945.19,21013.43,-17740.53,-14633.9,127334.08,121432.98,54621.78,56868.78,885.6,959.39,2737.18,2752.34,234915.48,203959.67,17141.82,17744.39,2249.87,2169.2,26917.38,23781.2,-343595.52,-297054.51,27.28,28.26,11.7,13.24,0.19,0.22,0.59,0.64,50.32,47.47,3.67,4.13,0.48,0.5,5.77,5.53,40.23,34.36,17.26,16.09,0.28,0.27,0.86,0.78,74.22,57.71,5.42,5.02,0.71,0.61,8.5,6.73
