Name of State Road Transport Undertaking (SRTU),State,gis_id,Total Revenue (Rs. Lakh) 2009-10,Total Revenue (Rs. Lakh) 2010-11,Total Revenue (Rs. Lakh) 2011-12,Total Revenue (Rs. Lakh) 2012-13,Total Revenue (Rs. Lakh) 2013-14,Total Cost (Rs. Lakh) 2009-10,Total Cost (Rs. Lakh) 2010-11,Total Cost (Rs. Lakh) 2011-12,Total Cost (Rs. Lakh) 2012-13,Total Cost (Rs. Lakh) 2013-14,Net Profit/Loss (Rs. Lakh) 2009-10,Net Profit/Loss (Rs. Lakh) 2010-11,Net Profit/Loss (Rs. Lakh) 2011-12,Net Profit/Loss (Rs. Lakh) 2012-13,Net Profit/Loss (Rs. Lakh) 2012-13
Ahmedabad MTS,Gujrat,12,11770,10891,11962,14374,15375,14572,24809,26054,31591,35634,-2802,-13918,-14093,-17217,-20259
Andhra Pradesh SRTC,Andhra Pradesh,2,439003,521486,667740,666152,660324,481462,548367,726271,669865,744593,-42459,-26881,-58531,-3713,-84269
Andaman & Nicobar ST,A & N Islands,1,N.A.,N.A.,1294,1672,1887,N.A.,,N.A. 7194,4299,4871,N.A.,N.A.,-5900,-2628,-2984
Arunachal Pradesh ST,Arunachal Pradesh,3,N.A.,N.A.,5973,15,16,N.A.,,N.A. 9489,53,55,N.A.,N.A.,-3516,-38,-39
BEST Undertaking,Maharashtra,21,90872,111278,131544,142568,143510,138667,149416,168347,205612,218435,-47795,-38138,-36802,-63043,-74925
Bangalore Metropolitan TC,Karnataka,17,113171,132935,150308,166046,201394,106659,127900,148166,180841,215147,6512,5035,2142,-14795,-13753
Bihar SRTC,Bihar,5,2147,2141,2316,2053,1631,5056,3865,4098,3063,2576,-2909,-1724,-1782,-1009,-945
Calcutta STC,West Bengal,35,7533,6541,6163,7044,6198,22460,25143,23389,21854,23053,-14927,-18602,-17226,-14810,-16855
Chandigarh TU,Chandigarh,6,9826,11148,11821,10795,10430,13738,14906,16200,17812,17552,-3912,-3758,-4379,-7017,-7122
Delhi TC,Delhi,10,56576,96454,128081,130444,120958,267599,325108,382133,429668,466803,-211023,-228654,-254053,-299224,-345845
Gujarat SRTC,Gujrat,12,175223,196804,240075,248548,277819,199618,212854,259936,272131,297165,-24395,-16050,-19861,-23584,-19345
Haryana ST,Haryana,13,78331,85971,96223,113245,124308,102318,113704,117817,141726,164988,-23987,-27733,-21593,-28481,-40679
Himachal RTC,Himachal Pradesh,14,34412,48799,48171,N.A.,N.A.,43789,51106,56236,N.A.,N.A.,-9377,-2307,-8065,N.A.,N.A.
J&K SRTC,Jammu & Kashmir,15,N.A.,4031,5845,5454,5785,N.A.,6910,8119,8235,10184,N.A.,-2879,-2274,-2781,-4399
Kadamba TC Ltd.,Goa,11,N.A.,8300,9348,9477,12464,N.A.,9871,11205,10802,14869,N.A.,-1571,-1857,-1324,-2405
Karnataka SRTC,Karnataka,17,174636,207868,231768,259233,296626,N.A.,201663,229827,259059,304182,N.A.,6205,1941,174,-7556
Kerala SRTC,Kerala,18,N.A.,129410,148915,161702,169058,N.A.,167342,190550,216788,227706,N.A.,-37932,-41635,-55087,-58648
Maharashtra SRTC,Maharashtra,21,434164,497967,560025,609579,673626,420642,495038,553628,652462,732321,13522,2929,6397,-42883,-58695
Meghalaya STC,Meghalaya,23,790,822,1113,1059,835,970,1162,1148,1401,1208,-180,-340,-35,-342,-373
Metro TC (Chennai) Limited,Tamil Nadu,31,80926,91325,104354,125263,135486,91489,114309,127546,136888,149680,-10563,-22984,-23192,-11625,- 4194
Mizoram ST,Mizoram,24,198,231,214,195,171,1425,1502,1691,1890,2402,-1227,-1271,-1477,-1696,-2232
Nagaland ST,Nagaland,25,1122,1150,1302,1137,1225,2700,,N.A. 4329,4468,5051,-1578,N.A.,-3027,-3331,-3826
Navi Mumbai MT,Maharashtra,21,6276,7496,9074,10104,8999,7036,8203,10328,11741,12645,-760,-707,-1254,-1637,-3646
North Bengal STC,West Bengal,35,6832,6525,6472,7512,7255,17034,20430,18063,17931,18876,-10202,-13905,-11590,-10420,-11621
North Eastern Karnataka RTC,Karnataka,17,74478,86420,98036,113341,131070,79337,87119,99843,115433,134942,-4859,-699,-1807,-2093,-3872
North Western Karnataka RTC,Karnataka,17,96147,103024,115907,131400,154460,101928,105839,118250,137731,160339,-5781,-2815,-2344,-6331,-5879
Odisha SRTC,Odisha,26,6053,6554,7474,7644,7792,5277,5837,6944,6923,7811,776,717,530,720,-18
Pepsu RTC,Punjab,28,N.A.,N.A.,N.A.,34084,36713,N.A.,,N.A. N.A.,35181,40294,N.A.,N.A.,N.A.,-1097,-3581
Pune Mahamandal,Maharashtra,21,N.A.,N.A.,42546,53262,60263,N.A.,,N.A. 47041,59524,70203,N.A.,N.A.,-4495,-6262,-9941
