Name of State Road Transport Undertaking (SRTU),State,gis_id,average_fleet_held_2013_14,Average Fleet Held (Number) 2012-13,Average Fleet Operated (Number) 2013-14,Average Fleet Operated (Number) 2012-13,Fleet Utilisation (%) 2013-14,Fleet Utilisation (%) 2012-13,Avg Age of Fleet (Years) 2013-14,Avg Age of Fleet (Years) 2012-13,Over aged vehicles (%) 2013-14,Over aged vehicles (%) 2012-13,Number of Accidents 2013-14,Number of Accidents 2012-13, Number of Fatal Accidents 2013-14, Number of Fatal Accidents 2012-13,Revenue Earning Kilometres (Lakhs) 2013-14,Revenue Earning Kilometres (Lakhs) 2012-13,Number of Accidents per lakh Reveue Earning Kilometres 2013-14,Number of Accidents per lakh Reveue Earning Kilometres 2012-13,Number of Fatal Accidents per lakh Reveue Earning Kilometres 2013-14,Number of Fatal Accidents per lakh Reveue Earning Kilometres 2012-13,Staff Strength (Number) 2013-14,Staff Strength (Number) 2012-13,Staff/Bus Ratio 2013-14,Staff/Bus Ratio 2012-13,Staff Productivity (Kms/Staff/Day) 2013-14,Staff Productivity (Kms/Staff/Day) 2012-13,Vehicle Productivity (Kms/Bus/Day) 2013-14,Vehicle Productivity (Kms/Bus/Day) 2012-13,Fuel Efficiency (Km/litre of HSD) 2013-14,Fuel Efficiency (Km/litre of HSD) 2012-13,Passenger Kilometres Offered (Lakhs) 2013-14,Passenger Kilometres Offered (Lakhs) 2012-13,Passenger KMS Performed (Lakhs) 2013-14,Passenger KMS Performed (Lakhs) 2012-13,Occupancy Ratio (%) 2013-14,Occupancy Ratio (%) 2012-13,Passenger Carried (Lakhs) 2013-14,Passenger Carried (Lakhs) 2012-13,Passengers carried per Bus/Day (Number) 2013-14,Passengers carried per Bus/Day (Number) 2012-13
Ahmedabad MTC,Gujrat,12,1036,1120,728,750,70.3,67,6.3,6.7,18.4,24.1,552,578,17,15,541.8,541.1,1.02,1.07,0.03,0.03,5293,5739,5.11,5.12,28.05,25.83,143.29,132.35,3.07,3.17,29621.6,30647.4,15351.8,19022.7,51.8,62.1,2022.7,2396,534.9,586.1
Andhra Pradesh SRTC,Andhra Pradesh,2,22145,22477,20423,22402,92.2,99.7,N.A.,N.A.,N.A.,N.A.,2103,2413,805,928,26226,29783,0.08,0.08,0.03,0.03,122109,122287,5.51,5.44,58.84,66.73,324.46,363.03,5.15,5.15,1299236,1476939,882441,1017168,67.9,68.9,50381,51673.1,623.3,629.8
Andaman & Nicobar ST,A & N Islands,1,258,227,247,199,95.7,87.7,7.3,8.2,14,29,9,16,1,2,100.3,89.7,0.09,0.18,0.01,0.02,858,858,3.33,3.78,32.04,28.64,106.54,108.25,3.79,3.54,101.5,91.3,100.3,89.7,98.9,98.2,101.8,133.1,108.1,160.7
Arunachal Pradesh ST,Arunachal Pradesh,3,219,207,104,104,47.5,50.2,9,8,53,56,1,1,N.A.,N.A.,81.1,76.7,0.01,0.01,N.A.,N.A.,809,809,3.69,3.91,27.47,25.98,101.48,101.53,3.33,3.33,91.9,79,83.1,78.5,90.5,99.4,0.3,0.3,0.4,0.4
BEST Undertaking,Maharashtra,21,4314,4484,3753,3799,87,84.7,7.6,6.6,0,0,700,770,31,30,2550.8,2652,0.27,0.29,0.01,0.01,36494,36620,8.46,8.17,19.15,19.84,161.99,162.04,2.84,2.87,168352,175032,98432,114458,58.5,65.4,13068,14096,829.9,861.3
Bangalore Metropolitan TC,Karnataka,17,6603,6328,6022,5745,91.2,90.8,5.3,4.6,4.6,5.1,370,384,80,88,4795.9,4638.4,0.08,0.08,0.02,0.02,36076,34278,5.46,5.42,36.42,37.07,198.99,200.82,3.82,3.84,303675.2,302751.4,198796.6,214586.1,65.5,70.9,17938,17111.7,744.3,740.9
Bihar SRTC,Bihar,5,414,414,88,107,21.3,25.8,11.8,10.8,100,98,2,1,0,0,71.5,100.7,0.03,0.01,0,0,920,1204,2.22,2.91,21.3,22.9,47.33,66.61,4.31,4.32,3433,4831.2,2677.7,3575.1,78,74,26.5,52.9,17.5,35
Calcutta STC,West Bengal,35,718,779,309,380,43,48.8,5.7,5.4,21.7,17,91,90,6,11,215.7,260.4,0.42,0.35,0.03,0.04,5059,5485,7.05,7.04,11.68,13.01,82.31,91.57,2.96,2.97,12277,14777.5,10120,12175,82.4,82.4,865.1,1077.2,330.1,378.8
Chandigarh TU,Chandigarh,6,468,472,401,424,85.7,89.8,6.86,6.1,51.6,23.5,131,115,5,6,335.2,373.2,0.39,0.31,0.01,0.02,1826,1921,3.9,4.07,50.29,53.22,196.23,216.6,3.42,3.62,16760,18658,15419.2,17165.4,92,92,611.9,671.6,358.2,389.8
Delhi TC,Delhi,10,5341,5602,4567,4805,85.5,85.8,6.3,5,27.57,30.01,225,251,63,68,3165.21,3534.09,0.07,0.07,0.02,0.02,35503,38103,6.65,6.8,24.43,25.41,162.36,172.84,2.79,2.82,186747.39,208511.31,155143.46,180219.85,83.1,86.4,15867.61,17071.79,813.9,834.9
Gujarat SRTC,Gujrat,12,7852,7719,6652,6694,84.7,86.7,N.A.,N.A.,1.9,2.9,729,729,149,129,10327.6,10349,0.07,0.07,0.01,0.01,40070,40370,5.1,5.23,70.61,70.23,360.35,367.32,5.5,5.51,508471.6,508151,336104.2,351520.5,66.1,69.2,8049.6,8410.6,280.9,298.5
Haryana ST,Haryana,13,3816,3755,3393,3474,88.9,92.5,3.1,3.1,3,3,241,295,91,92,4213.2,4225.8,0.06,0.07,0.02,0.02,18634,18974,4.88,5.05,61.95,61.02,302.49,308.32,4.73,4.76,210658,211289,152849,164849,72.6,78,4466.1,4527.2,320.6,330.3
Himachal RTC,Himachal Pradesh,14,2162,2076,2144,2013,99.2,97,N.A.,N.A.,20,23,100,97,24,15,1691.3,1638.9,0.06,0.06,0.01,0.01,8777,8419,4.06,4.06,52.79,53.33,214.33,216.29,3.58,3.61,74418.5,72110.7,74418.5,72110.7,100,100,N.A.,N.A.,…,…
J&K SRTC,Jammu & Kashmir,15,694,704,315,329,45.4,46.7,10.3,9,53,50,32,20,6,5,201.5,207.1,0.16,0.1,0.03,0.02,2235,2207,3.22,3.13,24.7,25.71,79.55,80.59,4.28,4.24,8463.4,8697.8,6435.9,6929,76,79.7,51.8,50.7,20.4,19.7
Kadamba TC Ltd.,Goa,11,547,425,313,276,57.2,64.9,4.5,6.5,4.8,16.9,59,80,5,9,286,255.64,0.21,0.31,0.02,0.04,2013,1861,3.68,4.38,38.93,37.63,143.27,164.8,4.34,4.48,11069.8,8397.8,7782,7902,70.3,94.1,317.3,301.1,158.9,194.1
Karnataka SRTC,Karnataka,17,8255,7831,7532,7184,91.2,91.7,3.8,3.6,22.8,11.6,1266,1170,303,269,9882.3,9415.6,0.13,0.12,0.03,0.03,38776,36249,4.7,4.63,69.82,71.16,327.98,329.41,4.76,4.8,514568.8,489613.3,354624.8,368678.8,68.9,75.3,9565.5,9390.9,317.5,328.5
Kerala SRTC,Kerala,18,5830,5847,4704,4772,80.7,81.6,6.7,6.5,25,23.6,1037,1086,182,154,5552.3,5554.9,0.19,0.2,0.03,0.03,42240,39712,7.25,6.79,36.01,38.32,260.92,260.29,4.21,4.25,6907.1,6786,N.A.,N.A.,N.A.,…,11634.3,12156.3,546.7,569.6
Maharashtra SRTC,Maharashtra,21,18055,17497,16523,16215,91.5,92.7,3.9,3.1,0,6.7,3154,3078,387,369,20466,19931,0.15,0.15,0.02,0.02,107885,100052,5.98,5.72,51.97,54.58,310.56,312.08,4.77,4.87,906642,886740,528386,536151,58.3,60.5,25630,26064,388.9,408.1
Meghalaya STC,Meghalaya,23,65,52,40,26,61.5,50,8,9,63,65,0,1,0,0,21.2,16.2,0,0.06,0,0,276,288,4.25,5.54,20.99,15.42,89.15,85.41,4.57,3.63,696.3,534.9,394.2,274.8,63.9,52,3.7,2.7,15.6,14.4
Metro TC (Chennai) Limited,Tamil Nadu,31,3660,3585,3210,3050,87.7,85.1,5.1,4.3,N.A.,10.1,1813,1487,119,124,3600.4,3442.7,0.5,0.43,0.03,0.04,23982,23519,6.55,6.56,41.13,40.1,269.51,263.1,4.33,4.34,257947,247877,192169,187962,74.5,75.8,18068,17544,1352.5,1340.7
Mizoram ST,Mizoram,24,34,34,16,19,47.1,55.9,5.2,4.3,5.9,0,0,0,0,0,6.5,7.1,0,0,0,0,418,418,12.29,12.29,4.28,4.67,52.62,57.45,3,3.2,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.5,0.5,3.6,4.3
Nagaland ST,Nagaland,25,213,233,123,114,57.7,48.9,5.5,5.5,44.8,52.9,0,6,0,3,59.7,58,0,0.1,0,0.05,1050,1050,4.93,4.51,15.56,15.13,76.73,68.2,3.78,3.75,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15,15,19.3,17.6
Navi Mumbai MT,Maharashtra,21,356,336,222,224,62.4,66.7,5.3,5.86,17.1,12.2,272,346,0,5,231.61,255.68,1.17,1.35,0,0.02,2116,2649,5.94,7.88,29.99,26.44,178.24,208.48,2.81,2.95,N.A.,N.A.,N.A.,N.A.,…,…,746.05,857.54,574.1,699.2
North Bengal STC,West Bengal,35,688,720,455,438,66.1,60.8,8.4,7.4,40,64,61,79,12,8,361.9,404.3,0.17,0.2,0.03,0.02,3111,3410,4.52,4.74,31.87,32.48,144.12,153.84,3.94,4.01,18095,20214,14560.3,15614.4,80.5,77.2,645,672.4,256.8,255.9
North Eastern Karnataka RTC,Karnataka,17,4247,4058,3794,3631,89.3,89.5,5.3,5.1,17.5,12.3,479,431,121,126,4576.2,4488.4,0.1,0.1,0.03,0.03,19128,18455,4.5,4.55,65.54,66.63,295.21,303.03,5.14,5.22,247112.6,237887.5,153731.8,154907.6,62.2,65.1,4872.8,4836.3,314.3,326.5
North Western Karnataka RTC,Karnataka,17,4615,4523,4385,4210,95,93.1,N.A.,N.A.,26.5,21.1,N.A.,N.A.,N.A.,N.A.,5503.2,5272.6,…,…,N.A.,N.A.,22508,22262,4.88,4.92,66.99,64.89,326.7,319.38,5.1,5.09,280663,263630,172959,171826,61.6,65.2,8395,8212.5,498.4,497.5
