Name of State Road Transport Undertaking (SRTU),State,gis_id,Average Fleet Held (Number) 2009-10,Average Fleet Held (Number) 2010-11,Average Fleet Held (Number) 2011-12,Average Fleet Held (Number) 2012-13,Average Fleet Held (Number) 2013-14,Average Age of Fleet (Years) 2009-10,Average Age of Fleet (Years) 2010-11,Average Age of Fleet (Years) 2011-12,Average Age of Fleet (Years) 2012-13,Average Age of Fleet (Years) 2013-14,Staff Strength (Number) 2009-10,Staff Strength (Number) 2010-11,Staff Strength (Number) 2011-12,Staff Strength (Number) 2012-13,Staff Strength (Number) 2013-14,Fuel Efficiency (Km/litre of HSD) 2009-10,Fuel Efficiency (Km/litre of HSD) 2010-11,Fuel Efficiency (Km/litre of HSD) 2011-12,Fuel Efficiency (Km/litre of HSD) 2012-13,Fuel Efficiency (Km/litre of HSD) 2013-14,Passenger Kms Performed (Lakhs) 2009-10,Passenger Kms Performed (Lakhs) 2010-11,Passenger Kms Performed (Lakhs) 2011-12,Passenger Kms Performed (Lakhs) 2012-13,Passenger Kms Performed (Lakhs) 2013-14,Passenger Carried (Lakhs) 2009-10,Passenger Carried (Lakhs) 2010-11,Passenger Carried (Lakhs) 2011-12,Passenger Carried (Lakhs) 2012-13,Passenger Carried (Lakhs) 2013-14
Ahmedabad MTS,Gujrat,12,966,942,985,1120,1036,7.4,7.8,N.A.,6.7,6.3,5592,5274,4715,5739,5293,3.5,3.5,3.3,3.2,3.1,21150,21021,21288,19023,15351.8,2986,2904,2935,2396,2023
Andhra Pradesh SRTC,Andhra Pradesh,2,21255,21802,22170,22477,22145,N.A.,N.A.,4.8,N.A.,N.A.,115898,120566,123615,122287,122109,5.3,5.2,5.1,5.2,5.2,974778,973944,1001924,1017168,882441,48934,46388,50014,51673,50381
Andaman & Nicobar ST,A & N Islands,1,N.A.,N.A.,219,227,258,N.A.,N.A.,8.2,8.2,7.3,N.A.,N.A.,1156,858,858,N.A.,N.A.,N.A.,3.5,3.8,N.A.,N.A.,N.A.,90,100.3,N.A.,N.A.,117,133,102
Arunachal Pradesh ST,Arunachal Pradesh,3,N.A.,N.A.,631,207,219,N.A.,N.A.,5,8,9,N.A.,N.A.,2579,809,809,N.A.,N.A.,3.8,3.3,3.3,N.A.,N.A.,5928,78,83.1,N.A.,N.A.,45,0.3,0.3
BEST Undertaking,Maharashtra,21,4078,4652,4669,4484,4314,5.5,5.3,6.1,6.6,7.6,29494,30183,35345,36620,36494,2.9,2.9,2.9,2.9,2.8,127566,123071,123353,114458,98432,15953,15352,14395,14096,13068
Bangalore Metropolitan TC,Karnataka,17,5715,6110,6092,6328,6603,3.9,4.8,4.9,4.6,5.3,30996,32953,32331,34278,36076,4.1,4,4,3.8,3.8,182917,197604,232759,214586,198796.6,14708,15603,15920,17112,17938
Bihar SRTC,Bihar,5,424,424,414,414,414,6.8,8.8,9.8,10.8,11.8,2036,1765,1516,1204,920,4,4.2,4.3,4.3,4.3,3825,4317,4075,3575,2677.7,47,55,53,53,26
Calcutta STC,West Bengal,35,977,956,839,779,718,6.1,5.7,4.7,5.4,5.7,6719,6102,5813,5485,5059,3.5,3.4,3,3,3,19128,12108,11996,12175,10120,1854,1686,1164,1077,865
Chandigarh TU,Chandigarh,6,409,471,493,472,468,3,4.4,5.3,6.1,6.86,2096,2136,2055,1921,1826,4,4.1,3.8,3.6,3.4,18819,20216,19614,17165,15419.2,671,788,794,672,612
Delhi TC,Delhi,10,3841,5771,6077,5602,5341,5.7,4.2,4.8,5,6.3,29180,35557,40721,38103,35503,4.2,N.A.,2.5,2.8,2.8,95069,138011,90237,180220,155143.46,8817,11066,16177,17072,15868
