layer,source,url
population_total_val,2011 Census India,https://en.wikipedia.org/wiki/2011_Census_of_India 
average_fleet_held_val,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
average_fleet_operated_val,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
fleet_utilisation_perc,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
avg_age_of_fleet_val,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
over_aged_vehicles_perc,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
number_of_accidents,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
number_of_fatal_accidents,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
revenue_earning_kilometres,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
number_of_accidents_per_lakh_reveue_earning_kilometres,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
number_of_fatal_accidents_per_lakh_reveue_earning_kilometres,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
staff_strength,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
staff_bus_ratio,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
staff_productivity,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
vehicle_productivity,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
fuel_efficiency,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
passenger_kilometres_offered,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
passenger_kms_performed,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
occupancy_ratio,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
passenger_carried,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
passengers_carried_per_bus_per_day,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
total_revenue,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
total_cost,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
net_profit_loss,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
revenue_per_km,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
cost_per_km,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
profit_loss_per_km,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
revenue_per_bus_per_day,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
cost_per_bus_per_day,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
profit_loss_per_bus_per_day,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
staff_costs,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
fuel_lubricant_costs,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
cost_of_tyres_tubes,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
cost_of_spares,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
interest,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
depreciation,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
taxes,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
other_cost,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
profit_before_tax,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
staff_cost_as_percent_of_total_cost,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
fuel_lubricant_cost_as_percent_of_total_cost,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
tyres_tubes_cost_as_percent_of_total_cost,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
spares_cost_as_percent_of_total_cost,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
interest_cost_as_percent_of_total_cost,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
depreciation_cost_as_percent_of_total_cost,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
tax_cost_as_percent_of_total_cost,2013-14 ASRTU,http://morth.nic.in/showfile.asp?lid=1724&key=state%20road%20transport%20undertakings&n=1
